title_cluster,template_cluster,main_category,title,description,features,average_rating,rating_number,price,parent_asin
8,1,All Beauty,1 Pcs Resizable Adjustable Soft Baby Babies Kids Children Shampoo Bath Bathing Shower Cap Hat Shield for Wash Washing Hair + a Keychain,"['Product Name:'
 '1 Pcs Resizable Adjustable Soft Baby Babies Kids Children Shampoo Bath Bathing Shower Cap Hat Shield for Wash Washing Hair + a Keychain'
 'Features:'
 ""1* Made of high-quality raw materials, high elasticity, toughness, kneading and will not warp.  2* Lightweight with funny outlook, suitable for baby to wear  3* Comfortable and flexible for using again and again  4* When wash your baby,hair,water will not run to the baby///'s face.  5* To prevent the shampoo & water touches the baby///'s face.  6* When washing,it can prevent the clogging breathing.  7* No need to close your eyes when washing hair.  8* Ultra-soft, elasticity is good.  9* Make bathing be a funny experience for the kids.  10* Protects your baby or toddler's eyes from shampoo and water.  11* NEW Safe Shampoo Shower Bath Cap for Baby Children""
 'Specifications:' 'Net weight:20g  Package weight:30g  Color: Random']","['* 1 * Made of high-quality raw materials, high elasticity, toughness, kneading and will not warp. 100% Brand New and high quality.'
 ""* 2 * This Baby Shampoo Shield Hat is perfect to protects your baby or toddler's eyes from shampoo and water.""
 '* 3 * Three colors dispatched randomly, please note that the package includes only ONE piece of shampoo cap. Color: Random'
 '* 4 * When washing, it can prevent the clogging breathing. Unique design with buckles could be adjusted for babies of different ages'
 '* 5 * Make bathing be a funny experience for the kids. Ultra-soft, elasticity is good.']",2.5,10,6.18,B00LKL4FP4
8,1,All Beauty,10 Pack Black Hairbands with Button for Women Head Wrap Elastic Hair Band Facemask Holder for Nurses Doctors,[],"['Designed for Doctors and Nurses- Comfortable button position, suitable for all masks, protect the ears from the harsh wear and tear of wearing masks all day!'
 'Well Made, No Hurt- The button headband is made of high-quality stretch fabric, which is soft, non-slip, elastic and breathable.'
 ""Elastic Hairbands- The knitted cross headband has a elastic band in the back part and the max stretch length approx 15''. It can stay on head longer without getting a headache.""
 'Great for Many Occasions- Also suitable for daily wear, working out, washin or makeup, highly recommend these to women, any hair length or type!'
 'Variety color choices allow for them to work with any outfit. If you encounter any problems or have any suggestions, please feel free to contact us!']",4.1,8,,B086YK6SN4
8,1,All Beauty,"10 Pack Wide Headbands, 4 Style knot Turban Hairband Vintage Head wrap Hair Band Elastic Hair Accessories",[],[],4.1,119,,B089QR2Y5B
8,1,All Beauty,10 Pcs Hairbands Women Ladies Vintage Flower Headband Printed Head Scarf Elastic Headband Bandana Boho headbands Hair Accessories for Women Girls,[],[],4.1,3,,B08D95GJMC
8,1,All Beauty,"10 Pcs Headbands for Women,bebeepoo Knotted Headbands Top Knot Hair Bands for Women's Hair Thick Turban Headbands Leopard Print Cheetah Headband Fashion Headband for Women and Girls",[],[],4.5,71,,B08NV3Z3G8
8,1,All Beauty,10 Pieces Bandana Knot Headbands Paisley Bow Boho Bandana Headwrap Solid Colors Headbands Rabbit Ear Hairband Elastic Turban Hair Band for Women Girls,[],[],3.9,28,,B07X8DRCL8
8,1,All Beauty,10 Pieces Button Headbands Tie Dye Headband Ear Protection Holder Headband Wide Multifunctional Hair Band Elastic Soft Headwrap with Button for Women Men,[],[],4.2,73,,B08BYJ9QK6
8,1,All Beauty,10 Pieces Wig Grips Band Set Include Stocking Wig Cap Velvet Adjustable Wig Band Silicone Wig Grip Band Sweatproof Wig Headband Double Sided Hair Edge Brush for Women Sport Yoga Cosplay,[],[],4.3,103,,B08Q3NSGR1
8,13,All Beauty,"100 Pieces Disposable Salon Cape, 35 x 23 Inch Waterproof Hair Dye Cutting Coloring Apron Shawl Transparent Barber Shampoo Cape Hairdressing Cape",[],[],3.0,50,,B08CDXVYCW
8,1,All Beauty,"100% Pure Silk Sleeping Cap Sleep Hat Night Hair Care Bonnet Scarves For Women Girls - Cameo Brown, 25cm-37cm",[],[],2.7,5,,B01INH99SK
